entry_id,phrase_id,phrase_alt_raw,phrase_alt_norm,phrase_ru,raw_block
6573,1,куш jӱректӱ трусливый,куш jӱректӱ трусливый,"Куш канатту, Кижи атту (Погов.) Птица с крыльями, Человек с лошадью","куш jӱректӱ трусливый; Куш канатту, Кижи атту (Погов.) Птица с крыльями, Человек с лошадью"
6584,1,Бӧрӱге мал кӱдеткен (Погов.) Заставили волка стеречь скот,бӧрӱге мал кӱдеткен (погов.) заставили волка стеречь скот,,Бöрÿге мал кӱдеткен (Погов.) Заставили волка стеречь скот
6611,1,калганчы кӱзӱҥи последний звонок,калганчы кӱзӱҥи последний звонок,кӱзӱҥи-чечек бот. колокольчик,калганчы кӱзӱҥи последний звонок; кӱзӱҥи-чечек бот. колокольчик
6621,1,ичи кӱйер завидовать,ичи кӱйер завидовать,"кӱнге кӱйер загорать; Одыракта от кӱйет, Орыска байдыҥ ийди ӱрет (Заг.) На горке горит огонь, Собака богача Орыска лает","ичи кӱйер завидовать; кӱнге кӱйер загорать; Одыракта от кӱйет, Орыска байдыҥ ийди ӱрет (Заг.) На горке горит огонь, Собака богача Орыска лает"
6625,1,"Кӱйгӱр де болзо, Чобрада изӱ jок (Погов.) Хотя и легко разгорается, Тепла от коры лиственницы нет","кӱйгӱр де болзо, чобрада изӱ jок (погов.) хотя и легко разгорается, тепла от коры лиственницы нет",,"Кӱйгӱр де болзо, Чобрада изӱ jок (Погов.) Хотя и легко разгорается, Тепла от коры лиственницы нет"
6631,1,Кӱйече де кӱйӱ эмей (Погов.) Зять ведь и [размером] с моль зять,кӱйече де кӱйӱ эмей (погов.) зять ведь и [размером] с моль зять,,Кӱйече де кӱйӱ эмей (Погов.) Зять ведь и [размером] с моль зять
6638,1,"Кӱӱнзекте чамча jок, Кӱйӱнчекте мак jок (Погов.) У добряка рубахи нет, У завистника славы нет","кӱӱнзекте чамча jок, кӱйӱнчекте мак jок (погов.) у добряка рубахи нет, у завистника славы нет",Кӱйӱнчекте амыр jок (Погов.) У завистника покоя нет,"Кӱӱнзекте чамча jок, Кӱйӱнчекте мак jок (Погов.) У добряка рубахи нет, У завистника славы нет; Кӱйӱнчекте амыр jок (Погов.) У завистника покоя нет"
6641,1,кӱкӱрт-чечек бот. тюльпан,кӱкӱрт-чечек бот. тюльпан,,кӱкӱрт-чечек бот. тюльпан
6642,1,кӱл чымыл мошка,кӱл чымыл мошка,,кÿл чымыл мошка
6644,1,Кӱлер ка- зан кӱлге кайнайт (Заг.) Бронзовый котёл в золе кипит,кӱлер казан кӱлге кайнайт (заг.) бронзовый котёл в золе кипит,,Кӱлер ка- зан кӱлге кайнайт (Заг.) Бронзовый котёл в золе кипит
6654,1,"Кӱлӱктерле кӱрешпе, Кӱчи jокко кӱчӱркебе (Погов.) С сильными не борись, Перед слабым силой не похваляйся","кӱлӱктерле кӱрешпе, кӱчи jокко кӱчӱркебе (погов.) с сильными не борись, перед слабым силой не похваляйся",,"Кӱлӱктерле кӱрешпе, Кӱчи jокко кӱчӱркебе (Погов.) С сильными не борись, Перед слабым силой не похваляйся"
6675,1,кӱн карыкканы солнечное затмение,кӱн карыкканы солнечное затмение,"кӱн ашканы закат; кӱн чыкканы восход; кӱн эртеде заранее; кӱн эртелеп заранее, пораньше; кӱн тескери наоборот, против часовой стрелки (букв. против хода солнца); кӱн кӧрбӧй jӱрер жить очень плохо, трудно; Бир кӱнге jастырганы муҥ кӱнге барар (Посл.) Ошибка одного дня продлится на тысячи дней","кӱн карыкканы солнечное затмение; кӱн ашка- ны закат; кӱн чыкканы восход; кӱн эртеде заранее; кӱн эртелеп заранее, пораньше; кӱн тескери наоборот, против часовой стрел- ки (букв. против хода солнца); кӱн кӧрбӧй jӱрер жить очень плохо, трудно; Бир кÿнге jастырганы муҥ кÿнге барар (Посл.) Ошиб- ка одного дня продлится на тысячи дней"
6691,1,"Ат jакшызы мактулу, кижи jакшызы кӱндӱлӱ (Погов.) Хороший конь","ат jакшызы мактулу, кижи jакшызы кӱндӱлӱ (погов.) хороший конь","в почёте, Хороший человек – почитаем","Ат jакшызы мактулу, кижи jакшызы кӱндӱлӱ (Погов.) Хороший конь – в почёте, Хороший человек – почитаем"
6706,1,"Кӱнӱркектиҥ кӱӱни ӧчӧр, Кӱйӱнчектиҥ кӱли-оды ӧчӧр (Погов.) У ревнивого желание угаснет, У за- вистливого огонь угаснет","кӱнӱркектиҥ кӱӱни ӧчӧр, кӱйӱнчектиҥ кӱли-оды ӧчӧр (погов.) у ревнивого желание угаснет, у завистливого огонь угаснет","Кӱлде чок jок, Кӱнӱркекте кӱн jок (Погов.) У золы огня нет, У ревнивого солнца нет; Кӱнӱркектиҥ кӱли соок (Погов.) У ревнивого зола остывшая","Кӱнӱркектиҥ кӱӱни öчöр, Кӱйӱнчектиҥ кӱли-оды öчöр (Погов.) У ревнивого желание угаснет, У за- вистливого огонь угаснет; Кӱлде чок jок, Кӱнӱркекте кӱн jок (Погов.) У золы огня нет, У ревнивого солнца нет; Кӱнӱркектиҥ кӱли соок (Погов.) У ревнивого зола остыв- шая"
6804,1,кижи кӱӱни человеческое достоин- ство,кижи кӱӱни человеческое достоинство,кӱӱнге тийер надоедать,кижи кӱӱни человеческое достоин- ство; кӱӱнге тийер надоедать
6844,1,"кыjыгы курыыр нервни- чать, раздражаться","кыjыгы курыыр нервничать, раздражаться",,"кыjыгы курыыр нервни- чать, раздражаться"
6874,1,оозы кызыыр начать хмелеть,оозы кызыыр начать хмелеть,,оозы кызыыр начать хмелеть
6878,1,"кызыл таҥ красное зарево, зарница","кызыл таҥ красное зарево, зарница","кызыл эҥир время перед заходом солнца (букв. красный вечер); кызыл тын жизнь; кызыл тынын кыйар убить; кызыл кол голыми руками; кызыл колдыҥ кӱчиле 1) собственными силами; пустомеля; 3) несдержанный на язык; кызыл jылаҥаш абсолютно голый, в чём мать родила; кызыл чий новорожденный (о ребёнке, детёныше животного); Кызыл тын, кыл ӧӧч (Погов.) Еле-еле душа в теле","кызыл таҥ красное зарево, зарница; кызыл эҥир время перед заходом солнца (букв. красный вечер); кызыл тын жизнь; кызыл тынын кыйар убить; кызыл кол голыми руками; кызыл колдыҥ кӱчиле 1) собственными силами; пустомеля; 3) несдержанный на язык; кызыл jылаҥаш абсолютно голый, в чём мать роди- ла; кызыл чий новорожденный (о ребёнке, детёныше животного); Кызыл тын, кыл ööч (Погов.) Еле-еле душа в теле"
6898,1,тынын кыйар убить кого-л.,тынын кыйар убить кого-л.,,тынын кыйар убить кого-л.
6930,1,кыйма чы- гары геморрой,кыйма чыгары геморрой,,кыйма чы- гары геморрой
6939,1,"кый- мык јок неподвижно, без движения","кыймык јок неподвижно, без движения",,"кый- мык јок неподвижно, без движения"
6940,1,"Кыймыкта- ган кижи кыр ажар (Погов.) Кто движется, тот гору перейдёт","кыймыктаган кижи кыр ажар (погов.) кто движется, тот гору перейдёт",,"Кыймыкта- ган кижи кыр ажар (Погов.) Кто движется, тот гору перейдёт"
6964,1,учы-кыйузы јок без конца и края эрт-,учы-кыйузы јок без конца и края эрт-,"Быртыяк ойгонып келерде, тал-тӱш (И. Шодоев) Когда Быртыяк кыйып калтыр проснулся, уже минул полдень; 2) прерывать; тынын кыйып ийген прервал [его] жизнь; 3) перен. отлынивать; иштеҥ кыйып ийер отлынить от работы","учы-кыйузы јок без конца и края эрт-; Быртыяк ойгонып келерде, тал-тӱш (И. Шодоев) Когда Быртыяк кыйып калтыр проснулся, уже минул полдень; 2) прерывать; тынын кыйып ийген прервал [его] жизнь; 3) перен. отлынивать; иштеҥ кыйып ийер отлынить от работы"
6974,1,кыйын-тӱбек страдания и беды,кыйын-тӱбек страдания и беды,кыйын-шыра страдания и мучения,кыйын-тӱбек страдания и беды; кыйын-шыра страдания и мучения
6985,1,кыл jодо худые ноги,кыл jодо худые ноги,jӱрӱми кыл бажында жизнь его на волоске - кӧрди посмотрел исподлобья,кыл jодо худые ноги; jÿрÿми кыл бажында жизнь его на волоске - кӧрди посмотрел исподлобья
