entry_id,headword_raw,headword_norm,homonym_roman,pos_primary,labels,has_phrases,raw_text,page_start,page_end
87,ААМАЙТЫ-,аамайты,,,,0,"ААМАЙТЫглупеть, дуреть, тупеть; лишаться разума; ср. айма-, јӱӱл-; «Карыган сайын там ла аамайтып туру ба бу?» — деп, Кӱjeй jepгe тӱкӱреле, ары кӧрди (Э. Палкин) Сказав: «С возрастом этот всё больше тупеет что ли?», Кюдей, сплюнув на землю, отвернулась",17,17
88,ААМАЙТЫТ-,аамайтыт,,,,0,"ААМАЙТЫТпонуд. от аамайтызаставлять глупеть, дуреть, тупеть; лишать разума; ср. аймат-, јӱӱлт-; оору оны аамайтыдып салган болезнь лишила его разума",17,17
89,ААР-КАЛАП,ааркалап,,,,0,"ААР-КАЛАП 1) страшный, грозный, ужасающий; аар-калап ӧштӱ грозный враг;",17,17
90,Je,je,,,,0,"Je ол тушта бис аар-калап кӱчтӱ эки букага тӱҥей эмес, jӱк ле эки пӧтӱгешке тӱҥей болгоныс (Б. Укачин) Но тогда мы были похожи не на двух ужасающе сильных быков, а всего лишь были похожи на двух петушков; 2) огромный; аар-калап тамаштарлу айу медведь с огромными лапами",17,17
91,ААР-КӰЧ,ааркӱч,,,,0,ААР-КӰЧ страшная сила; аар-кӱчтӱ кижи человек со страшной силой,17,18
92,ААР-ТӰМЕН,аартӱмен,,,,0,"ААР-ТӰМЕН тьма, бесчисленное множество; аар-тӱмен калык бесчисленное множество народа",18,18
93,ААР-ЧАК,аарчак,,,,0,"ААР-ЧАК страшная беда, проблема; Ой, баш болзын шак ол коҥыр атка. Божонгон кийнинде ойто тудуп алатаны — аар-чак! (Б. Укачин) Ой, упаси боже эту самую каурую лошадь. Если отвяжется, обратно поймать [её] — страшная проблема",18,18
94,ААР-ШУЛМУС,ааршулмус,,,,0,"ААР-ШУЛМУС очень шустрый, бойкий; аар-шулмус таҥма очень бойкий удалец",18,18
95,ААРЧЫ,аарчы,,,,0,"ААРЧЫ аарчы (молочный продукт в виде творожистого осадка, остающегося после перегонки араки); аарчы белетеер готовить аарчы",18,18
96,ААРЧЫ-КУРУТ,аарчыкурут,,,,0,"ААРЧЫ-КУРУТ собир. аарчы и курут (молочные продукты); Ого коштой кажызы ла аракы, быштак, аарчы-курут белетеер дежип куучындажып алган (И. Шинжин)",18,18
97,Кроме,кроме,,,,0,"Кроме того, договорились о том, что каждый из них приготовит араку, быштак, аарчы и курут",18,18
98,АБА,аба,,,,0,"АБА 1) старший брат отца; дядя (по отцовской линии); ср. абаай, абагай; тойды абабыс башкарды свадьбой руководил наш дядя; 2) старшая сестра отца; тётя (по отцовской линии); мениҥ абам моя тётя; 3) эвф. дядя; тётя (почтительное обращение к старшим); 4) эвф. медведь; ср. абаай, абагай",18,18
99,АБААЙ,абаай,,,,0,"АБААЙ 1) старший брат отца; дядя (по отцовской линии); ср. аба, абагай; Кабайды дезе мениҥ абаайым, ӱлӱп сӧӧктӱ",18,18
100,Кару,кару,,,,0,"Кару Мендешевич Сабашкин jазап берген (И. Сабашкин) А колыбель сделал мой дядя,",18,18
101,Кару,кару,,,,0,"Кару Мендешевич Сабашкин, из рода улюп; 2) эвф. медведь; ср. абагай",18,18
102,АБАГАЙ,абагай,,,,0,"АБАГАЙ 1) старший брат отца; дядя (по отцовской линии); Абагайым кудайзак та болзо, ачызын куурмактарга келген турбай (Ч. Чунижеков) Хотя старший брат моего отца и набожный, оказывается, пришёл обмануть младшего брата; 2) эвф. медведь; ср. аба 1, 4, абаай",18,18
103,-,-,,,,0,- 19,18,18
104,АБРА-ЧАНАК,абрачанак,,,,0,АБРА-ЧАНАК,18,18
105,АБА-ЈЫШ,абајыш,,,,0,"АБА-ЈЫШ густая, дремучая тайга; айландыра аба-jыш кругом густая тайга; абајыштыҥ балазы дитя дремучей тайги",18,18
106,АБАКАЙ,абакай,,,,0,"АБАКАЙ 1) высок. супруга, жена; каанныҥ абакайы супруга царя; 2) высок. знатная женщина; дама; Сениҥ чечектериҥ кандый кӧп. Кажы, бирӱзин чачыҥа тагып берейин. Индияныҥ абакайына тӱҥей боло берериҥ! (Л. Кокышев) Твоих цветов как много. Давай, один из них прикреплю к твоим волосам. Станешь похожей на знатную женщину Индии!; 3) карт. дама; абакайла јиир крыть дамой",18,18
107,АБА-ЧӦЛ,абачӧл,,,,0,"АБА-ЧӦЛ широкая, бескрайняя степь;",18,18
108,Алтай,алтай,,,,0,"Алтай jepинeҥ ырап, аба-чӧлдӧрдӧ jyyлажып, ӧскӧ калыктардыҥ jадынjӱрӱмин де кӧрӱп jӱpгeни кирелӱ бе? (Э. Палкин) Разве плохо, что, отдалившись от",18,18
109,"Алтая,",алтая,,,,0,"Алтая, воюя в широких степях, видел и жизнь других народов?",18,18
110,АБЗАЦ,абзац,,,,0,АБЗАЦ абзац; јаҥы абзац новый абзац,18,18
